,flow_rate,voltage,image_classification,ml_classification,nn_classification,generalist_ml_classification
353,16.0,5400.6,dripping (34%),cone_jet,intermitent,undefined
354,16.0,5600.41,dripping (92%),undefined,intermitent,undefined
355,16.0,5800.63,dripping (77%),undefined,intermitent,undefined
356,16.0,6000.46,intermitent (63%),undefined,intermitent,undefined
357,16.0,6200.62,dripping (87%),undefined,intermitent,undefined
358,16.0,6400.35,cone_jet (56%),undefined,intermitent,undefined
359,16.0,6600.48,cone_jet (78%),undefined,intermitent,undefined
360,16.0,6800.31,cone_jet (99%),undefined,intermitent,undefined
361,16.0,7000.53,cone_jet (99%),undefined,intermitent,undefined
362,16.0,7200.35,cone_jet (94%),undefined,intermitent,undefined
363,16.0,7400.55,multi_jet (53%),undefined,intermitent,undefined
364,16.0,7600.34,multi_jet (59%),undefined,intermitent,undefined
365,16.0,7800.48,multi_jet (42%),undefined,intermitent,undefined
366,16.0,8000.38,multi_jet (100%),undefined,intermitent,undefined
367,16.0,8200.58,multi_jet (99%),undefined,intermitent,undefined
368,16.0,8400.4,multi_jet (100%),undefined,intermitent,undefined
369,16.0,8600.54,multi_jet (100%),undefined,intermitent,undefined
370,16.0,8800.38,multi_jet (100%),undefined,intermitent,undefined
371,16.0,9000.24,multi_jet (100%),undefined,intermitent,undefined
372,17.0,3000.53,dripping (97%),cone_jet,intermitent,undefined
373,17.0,3200.32,dripping (98%),cone_jet,intermitent,undefined
374,17.0,3400.6,dripping (51%),cone_jet,intermitent,undefined
375,17.0,3600.43,dripping (100%),cone_jet,intermitent,undefined
376,17.0,3800.59,dripping (100%),undefined,intermitent,undefined
377,17.0,4000.43,dripping (83%),cone_jet,intermitent,undefined
378,17.0,4200.57,dripping (100%),undefined,intermitent,undefined
379,17.0,4400.43,dripping (99%),cone_jet,intermitent,undefined
380,17.0,4600.62,dripping (68%),cone_jet,intermitent,undefined
381,17.0,4800.49,dripping (96%),cone_jet,intermitent,undefined
382,17.0,5000.68,dripping (87%),cone_jet,intermitent,undefined
383,17.0,5200.45,dripping (84%),cone_jet,intermitent,undefined
384,17.0,5400.63,intermitent (97%),cone_jet,intermitent,undefined
385,17.0,5600.43,intermitent (95%),undefined,intermitent,undefined
386,17.0,5800.64,intermitent (60%),undefined,intermitent,undefined
387,17.0,6000.46,intermitent (92%),undefined,intermitent,undefined
388,17.0,6200.64,cone_jet (57%),undefined,intermitent,undefined
389,17.0,6400.37,cone_jet (100%),undefined,intermitent,undefined
390,17.0,6600.47,cone_jet (93%),undefined,intermitent,undefined
391,17.0,6800.31,cone_jet (79%),undefined,intermitent,undefined
392,17.0,7000.51,cone_jet (98%),undefined,intermitent,undefined
393,17.0,7200.38,multi_jet (56%),undefined,intermitent,undefined
394,17.0,7400.55,cone_jet (70%),undefined,intermitent,undefined
395,17.0,7600.34,multi_jet (100%),undefined,intermitent,undefined
396,17.0,7800.52,multi_jet (98%),undefined,intermitent,undefined
397,17.0,8000.38,multi_jet (100%),undefined,intermitent,undefined
398,17.0,8200.6,multi_jet (99%),undefined,intermitent,undefined
399,17.0,8400.41,multi_jet (100%),undefined,intermitent,undefined
400,17.0,8600.53,multi_jet (100%),undefined,intermitent,undefined
401,17.0,8800.34,multi_jet (100%),undefined,intermitent,undefined
402,17.0,9000.22,multi_jet (100%),undefined,intermitent,undefined
403,18.0,3000.46,dripping (100%),undefined,intermitent,undefined
404,18.0,3200.36,dripping (100%),undefined,intermitent,undefined
405,18.0,3400.51,dripping (97%),undefined,intermitent,undefined
406,18.0,3600.35,dripping (100%),undefined,intermitent,undefined
407,18.0,3800.62,dripping (100%),undefined,intermitent,undefined
408,18.0,4000.48,dripping (98%),undefined,intermitent,undefined
409,18.0,4200.62,dripping (99%),undefined,intermitent,undefined
410,18.0,4400.48,dripping (99%),undefined,intermitent,undefined
411,18.0,4600.68,dripping (100%),undefined,intermitent,undefined
412,18.0,4800.52,dripping (97%),undefined,intermitent,undefined
413,18.0,5000.71,intermitent (60%),undefined,intermitent,undefined
414,18.0,5200.47,intermitent (69%),undefined,intermitent,undefined
415,18.0,5400.63,dripping (87%),undefined,intermitent,undefined
416,18.0,5600.49,intermitent (98%),undefined,intermitent,undefined
417,18.0,5800.67,multi_jet (52%),undefined,intermitent,undefined
418,18.0,6000.53,cone_jet (88%),undefined,intermitent,undefined
